subj_id,round_index,block,block_order,select_robot,human_speed_ms,robot_speed_ms,robot_errors_setting,steps_to_complete,round_total_time_ms,round_total_effort,round_total_errors,n_pushes,n_corrections,correction_time_ms,trial,prev_choice_robot,trial_in_block,post_switch,block_switch
8,2,1,"[1, 2]",0,8000,6000,6,4,35748,4,0,4,0,,2,1.0,2,0,0
8,3,1,"[1, 2]",1,8000,6000,6,4,32903,6,1,0,6,865.0,3,0.0,3,0,0
8,4,1,"[1, 2]",0,8000,6000,6,4,34480,4,0,4,0,,4,1.0,4,0,0
8,5,1,"[1, 2]",0,8000,6000,6,4,34907,4,0,4,0,,5,0.0,5,0,0
8,6,1,"[1, 2]",0,8000,6000,6,4,34805,4,0,4,0,,6,0.0,6,0,0
8,7,1,"[1, 2]",0,8000,6000,6,4,34612,4,0,4,0,,7,0.0,7,0,0
8,8,1,"[1, 2]",0,8000,6000,6,4,34610,4,0,4,0,,8,0.0,8,0,1
8,9,2,"[1, 2]",1,2000,2000,2,12,28572,2,1,0,2,1163.0,9,0.0,1,1,0
8,10,2,"[1, 2]",0,2000,2000,2,12,30973,12,0,12,0,,10,1.0,2,0,0
8,11,2,"[1, 2]",1,2000,2000,2,12,27717,2,1,0,2,1083.0,11,0.0,3,0,0
8,12,2,"[1, 2]",1,2000,2000,2,12,28817,2,1,0,2,2014.0,12,1.0,4,0,0
8,13,2,"[1, 2]",1,2000,2000,2,12,28375,2,1,0,2,1685.0,13,1.0,5,0,0
8,14,2,"[1, 2]",1,2000,2000,2,12,27708,2,1,0,2,1084.0,14,1.0,6,0,0
8,15,2,"[1, 2]",1,2000,2000,2,12,29250,2,1,0,2,1056.0,15,1.0,7,0,0
8,16,2,"[1, 2]",1,2000,2000,2,12,27973,2,1,0,2,1220.0,16,1.0,8,0,1
9,1,1,"[1, 2]",1,8000,6000,6,4,33034,6,1,0,6,682.0,1,,1,1,0
9,2,1,"[1, 2]",0,8000,6000,6,4,36668,4,0,4,0,,2,1.0,2,0,0
9,3,1,"[1, 2]",1,8000,6000,6,4,33285,6,1,0,6,398.0,3,0.0,3,0,0
9,4,1,"[1, 2]",0,8000,6000,6,4,35068,4,0,4,0,,4,1.0,4,0,0
9,5,1,"[1, 2]",1,8000,6000,6,4,32888,6,1,0,6,1339.0,5,0.0,5,0,0
9,6,1,"[1, 2]",1,8000,6000,6,4,32913,6,1,0,6,1045.0,6,1.0,6,0,0
9,7,1,"[1, 2]",0,8000,6000,6,4,33468,4,0,4,0,,7,1.0,7,0,0
9,8,1,"[1, 2]",0,8000,6000,6,4,33656,4,0,4,0,,8,0.0,8,0,1
9,9,2,"[1, 2]",1,2000,2000,2,12,27468,2,1,0,2,1007.0,9,0.0,1,1,0
9,10,2,"[1, 2]",0,2000,2000,2,12,29295,12,0,12,0,,10,1.0,2,0,0
9,11,2,"[1, 2]",1,2000,2000,2,12,27429,2,1,0,2,618.0,11,0.0,3,0,0
9,12,2,"[1, 2]",1,2000,2000,2,12,27576,2,1,0,2,908.0,12,1.0,4,0,0
9,13,2,"[1, 2]",1,2000,2000,2,12,27415,2,1,0,2,910.0,13,1.0,5,0,0
9,14,2,"[1, 2]",1,2000,2000,2,12,29876,2,1,0,2,595.0,14,1.0,6,0,0
9,15,2,"[1, 2]",1,2000,2000,2,12,27911,2,1,0,2,796.0,15,1.0,7,0,0
9,16,2,"[1, 2]",1,2000,2000,2,12,28835,2,1,0,2,2144.0,16,1.0,8,0,1
10,1,2,"[2, 1]",1,2000,2000,2,12,29712,2,1,0,2,1529.0,1,,1,1,0
10,2,2,"[2, 1]",1,2000,2000,2,12,35251,2,1,0,2,2497.0,2,1.0,2,0,0
10,3,2,"[2, 1]",1,2000,2000,2,12,28494,2,1,0,2,1053.0,3,1.0,3,0,0
10,4,2,"[2, 1]",1,2000,2000,2,12,28528,2,1,0,2,1978.0,4,1.0,4,0,0
10,5,2,"[2, 1]",1,2000,2000,2,12,32465,2,1,0,2,2876.0,5,1.0,5,0,0
10,6,2,"[2, 1]",1,2000,2000,2,12,30947,2,1,0,2,3170.0,6,1.0,6,0,0
10,7,2,"[2, 1]",1,2000,2000,2,12,34098,2,1,0,2,1096.0,7,1.0,7,0,0
10,8,2,"[2, 1]",1,2000,2000,2,12,35475,2,1,0,2,2771.0,8,1.0,8,0,1
