subj_id,t,block_index,block_index_zero,batch_within_block,condition_pair,first_condition,second_condition,block_condition,block_condition_label,mode,y,batch_time_sec,correct_count,n_trials,x_reward_rate,x_effort_high,choice_rt_ms,choice_button_order,manual_left,idle_batch,snippets_hovered_count
3,10,2,1,2,optimal|full_suboptimal,optimal,full_suboptimal,full_suboptimal,Full Suboptimal,manual,0,33.94310000002384,3,4,5.302992360741169,0,1786.9000000953674,ai|manual,False,False,
3,11,2,1,3,optimal|full_suboptimal,optimal,full_suboptimal,full_suboptimal,Full Suboptimal,ai,1,78.04369999992848,3,4,2.306400132235721,1,859.7999999523163,ai|manual,False,False,20.0
3,12,2,1,4,optimal|full_suboptimal,optimal,full_suboptimal,full_suboptimal,Full Suboptimal,ai,1,71.84500000011921,3,4,2.505393555566864,1,1245.600000023842,ai|manual,False,False,13.0
3,13,2,1,5,optimal|full_suboptimal,optimal,full_suboptimal,full_suboptimal,Full Suboptimal,ai,1,70.9075,4,4,3.384691323202764,1,960.899999976158,ai|manual,False,False,17.0
3,14,2,1,6,optimal|full_suboptimal,optimal,full_suboptimal,full_suboptimal,Full Suboptimal,ai,1,65.36469999992848,4,4,3.671706593930097,1,1332.2999999523165,ai|manual,False,False,16.0
3,15,2,1,7,optimal|full_suboptimal,optimal,full_suboptimal,full_suboptimal,Full Suboptimal,ai,1,99.68289999997616,4,4,2.407634609346813,1,1657.7000000476835,ai|manual,False,False,19.0
3,16,2,1,8,optimal|full_suboptimal,optimal,full_suboptimal,full_suboptimal,Full Suboptimal,ai,1,56.15809999990464,2,4,2.1368244296050576,1,1306.399999976158,ai|manual,False,False,8.0
4,1,1,0,1,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,effort_penalty,Effort Penalty,manual,0,16.422900000035764,3,4,10.960305427154037,0,1599.2999999523165,manual|ai,True,False,
4,2,1,0,2,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,effort_penalty,Effort Penalty,manual,0,13.4685,4,4,17.819356275754537,0,1151.2999999523165,manual|ai,True,False,
4,3,1,0,3,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,effort_penalty,Effort Penalty,manual,0,15.348999999940396,3,4,11.727148348472149,0,599.3000000119209,manual|ai,True,False,
4,4,1,0,4,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,effort_penalty,Effort Penalty,ai,1,24.508599999904632,3,4,7.344360755028864,1,1501.800000011921,manual|ai,True,False,11.0
4,5,1,0,5,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,effort_penalty,Effort Penalty,manual,0,12.881100000023842,4,4,18.631949134744374,0,341.89999997615814,manual|ai,True,False,
4,6,1,0,6,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,effort_penalty,Effort Penalty,manual,0,12.721500000059605,4,4,18.86569979946355,0,406.10000002384186,manual|ai,True,False,
4,7,1,0,7,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,effort_penalty,Effort Penalty,manual,0,16.2005,1,4,3.703589395389031,0,417.60000002384186,manual|ai,True,False,
4,8,1,0,8,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,effort_penalty,Effort Penalty,manual,0,15.467,3,4,11.637680222409,0,345.89999997615814,manual|ai,True,False,
4,9,2,1,1,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,manual,0,11.322600000083446,4,4,21.196544963014787,0,780.8999999761581,manual|ai,True,False,
4,10,2,1,2,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,manual,0,11.849599999964235,4,4,20.25384823122505,0,409.4000000357628,manual|ai,True,False,
4,11,2,1,3,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,manual,0,13.565100000023842,4,4,17.692460800110442,0,293.30000001192093,manual|ai,True,False,
4,12,2,1,4,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,manual,0,11.93389999997616,4,4,20.110776862591397,0,300.69999998807907,manual|ai,True,False,
4,13,2,1,5,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,manual,0,12.054799999952316,4,4,19.909081859587,0,293.2000000476837,manual|ai,True,False,
4,14,2,1,6,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,manual,0,11.52480000001192,2,4,10.412328196573986,0,294.19999998807907,manual|ai,True,False,
4,15,2,1,7,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,manual,0,11.63619999998808,1,4,5.156322510790591,0,291.19999998807907,manual|ai,True,False,
4,16,2,1,8,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,manual,0,11.192899999916554,4,4,21.442164229269384,0,309.4000000357628,manual|ai,True,False,
5,1,1,0,1,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,effort_penalty,Effort Penalty,manual,0,19.54289999999106,4,4,12.280674823087146,0,4717.0999999940395,ai|manual,False,False,
5,2,1,0,2,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,effort_penalty,Effort Penalty,manual,0,20.49509999999404,4,4,11.710116076529014,0,1966.699999988079,ai|manual,False,False,
5,3,1,0,3,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,effort_penalty,Effort Penalty,manual,0,22.80780000001192,4,4,10.52271591297164,0,2558.79999999702,ai|manual,False,False,
5,4,1,0,4,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,effort_penalty,Effort Penalty,ai,1,27.1465,3,4,6.630689039102647,1,3223.0,ai|manual,False,False,0.0
5,5,1,0,5,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,effort_penalty,Effort Penalty,manual,0,17.67259999999404,4,4,13.580344714421246,0,1431.800000011921,ai|manual,False,False,
5,6,1,0,6,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,effort_penalty,Effort Penalty,manual,0,17.77509999999404,4,4,13.502033743837192,0,1526.800000011921,ai|manual,False,False,
5,7,1,0,7,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,effort_penalty,Effort Penalty,manual,0,22.07929999998212,4,4,10.869909825048548,0,1694.8999999910593,ai|manual,False,False,
5,8,1,0,8,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,effort_penalty,Effort Penalty,manual,0,28.837599999979137,2,4,4.1612339445753745,0,1471.8999999910593,ai|manual,False,False,
5,9,2,1,1,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,manual,0,18.9785000000149,4,4,12.64588876886011,0,1847.0,ai|manual,False,False,
5,10,2,1,2,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,manual,0,16.415200000017883,4,4,14.620595545575965,0,2230.699999988079,ai|manual,False,False,
5,11,2,1,3,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,manual,0,21.96360000002384,4,4,10.927170409210673,0,982.6000000089408,ai|manual,False,False,
5,12,2,1,4,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,manual,0,21.09480000001192,3,4,8.532908584101213,0,1695.7999999970198,ai|manual,False,False,
5,13,2,1,5,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,manual,0,19.28170000000298,4,4,12.447035271784276,0,1463.9000000059605,ai|manual,False,False,
5,14,2,1,6,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,manual,0,16.4655,4,4,14.575931493121985,0,1294.800000011921,ai|manual,False,False,
5,15,2,1,7,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,manual,0,14.09070000000298,3,4,12.77438310374658,0,1478.7000000029802,ai|manual,False,False,
5,16,2,1,8,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,manual,0,18.35819999998808,2,4,6.536588554437685,0,1471.7000000029802,ai|manual,False,False,
6,1,1,0,1,full_suboptimal|full_suboptimal,full_suboptimal,full_suboptimal,full_suboptimal,Full Suboptimal,ai,1,108.54839999997616,4,4,2.210995279525564,1,4966.699999988079,ai|manual,False,False,15.0
6,2,1,0,2,full_suboptimal|full_suboptimal,full_suboptimal,full_suboptimal,full_suboptimal,Full Suboptimal,ai,1,72.01110000005364,4,4,3.332819523654287,1,56243.40000000596,ai|manual,False,False,11.0
6,3,1,0,3,full_suboptimal|full_suboptimal,full_suboptimal,full_suboptimal,full_suboptimal,Full Suboptimal,ai,1,113.58790000000596,1,4,0.5282252775163274,1,2228.5999999940395,ai|manual,False,False,27.0
6,4,1,0,4,full_suboptimal|full_suboptimal,full_suboptimal,full_suboptimal,full_suboptimal,Full Suboptimal,manual,0,86.72340000000597,2,4,1.3837095870317786,0,2072.5,ai|manual,False,False,
6,5,1,0,5,full_suboptimal|full_suboptimal,full_suboptimal,full_suboptimal,full_suboptimal,Full Suboptimal,ai,1,101.21330000001193,3,4,1.7784224010083536,1,3173.2999999821186,ai|manual,False,False,13.0
6,6,1,0,6,full_suboptimal|full_suboptimal,full_suboptimal,full_suboptimal,full_suboptimal,Full Suboptimal,ai,1,121.90090000000596,2,4,0.9844061856802871,1,2812.699999988079,ai|manual,False,False,14.0
6,7,1,0,7,full_suboptimal|full_suboptimal,full_suboptimal,full_suboptimal,full_suboptimal,Full Suboptimal,ai,1,125.47169999995828,3,4,1.4345864445931622,1,2211.7999999821186,ai|manual,False,False,25.0
6,8,1,0,8,full_suboptimal|full_suboptimal,full_suboptimal,full_suboptimal,full_suboptimal,Full Suboptimal,ai,1,119.92389999997616,2,4,1.0006345690894296,1,2179.300000011921,ai|manual,False,False,30.0
6,9,2,1,1,full_suboptimal|full_suboptimal,full_suboptimal,full_suboptimal,full_suboptimal,Full Suboptimal,ai,1,79.6275,3,4,2.2605255721955357,1,2853.9000000059605,ai|manual,False,False,20.0
6,10,2,1,2,full_suboptimal|full_suboptimal,full_suboptimal,full_suboptimal,full_suboptimal,Full Suboptimal,ai,1,81.45360000002384,3,4,2.2098470785815154,1,1617.800000011921,ai|manual,False,False,17.0
6,11,2,1,3,full_suboptimal|full_suboptimal,full_suboptimal,full_suboptimal,full_suboptimal,Full Suboptimal,ai,1,82.50080000004172,3,4,2.1817970249974423,1,1433.699999988079,ai|manual,False,False,18.0
6,12,2,1,4,full_suboptimal|full_suboptimal,full_suboptimal,full_suboptimal,full_suboptimal,Full Suboptimal,ai,1,81.51929999998212,4,4,2.9440880871162123,1,1611.0999999940395,ai|manual,False,False,19.0
6,13,2,1,5,full_suboptimal|full_suboptimal,full_suboptimal,full_suboptimal,full_suboptimal,Full Suboptimal,ai,1,81.7395,3,4,2.2021177031912353,1,1298.4000000059605,ai|manual,False,False,21.0
6,14,2,1,6,full_suboptimal|full_suboptimal,full_suboptimal,full_suboptimal,full_suboptimal,Full Suboptimal,ai,1,81.49519999998807,4,4,2.9449587214956847,1,1171.5,ai|manual,False,False,18.0
6,15,2,1,7,full_suboptimal|full_suboptimal,full_suboptimal,full_suboptimal,full_suboptimal,Full Suboptimal,ai,1,73.06580000001192,4,4,3.2847104938283143,1,1120.5999999940395,ai|manual,False,False,22.0
6,16,2,1,8,full_suboptimal|full_suboptimal,full_suboptimal,full_suboptimal,full_suboptimal,Full Suboptimal,ai,1,71.59589999994635,3,4,2.514110444873727,1,34128.29999998212,ai|manual,False,False,23.0
7,1,1,0,1,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,effort_penalty,Effort Penalty,ai,1,59.27740000009537,3,4,3.036570429872268,1,1699.4000000953674,ai|manual,False,False,24.0
7,2,1,0,2,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,effort_penalty,Effort Penalty,ai,1,125.08020000004768,3,4,1.439076688396176,1,816.5999999046326,ai|manual,False,False,24.0
7,3,1,0,3,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,effort_penalty,Effort Penalty,ai,1,57.247,1,4,1.048089856237008,1,839.4000000953674,ai|manual,False,False,34.0
7,4,1,0,4,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,effort_penalty,Effort Penalty,ai,1,63.81989999985695,3,4,2.820436885679913,1,736.7000000476837,ai|manual,False,False,31.0
7,5,1,0,5,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,effort_penalty,Effort Penalty,ai,1,56.53040000009537,4,4,4.245503304409576,1,607.2000000476837,ai|manual,False,False,25.0
7,6,1,0,6,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,effort_penalty,Effort Penalty,ai,1,34.77009999990463,2,4,3.45124115260897,1,735.2999999523163,ai|manual,False,False,12.0
7,7,1,0,7,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,effort_penalty,Effort Penalty,ai,1,75.48360000014306,4,4,3.179498593065847,1,535.5999999046326,ai|manual,False,False,22.0
7,8,1,0,8,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,effort_penalty,Effort Penalty,ai,1,38.35650000023842,4,4,6.257088107583022,1,751.6000001430511,ai|manual,False,False,18.0
7,9,2,1,1,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,ai,1,112.57710000014303,2,4,1.0659361450938736,1,1663.2000000476835,ai|manual,False,False,28.0
7,10,2,1,2,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,ai,1,367.61690000009537,2,4,0.3264267774413223,1,1310.9000000953674,ai|manual,False,True,28.0
